Isolepis nodosa
Oxalis matancillae
Misodendrum angulatum
Alopecurus magellanicus
Calceolaria rugosa
Verbena reichei
Rumex magellanicus var. dusenii
Trisetum andinum
Echinopsis skottsbergii
Panicum racemosum
Nolana adansonii
Malesherbia glandulifera
Dicranopteris cryptocarpa
Asplenium obtusatum var. sphenoides
Eriosyce curvispina var. limariensis
Sorema bracteosa
Dolichos funarius
Stachys philippiana
Adesmia humifusa
Junellia digitata
Pernettya leucocarpa var. linearis
Calceolaria glutinosa
Deyeuxia eminens var. fulva
Calandrinia leucotricha
Vilfa asperifolia
Vandenboschia philippiana
Calacinum chilense
Sanguisorba minor
Lychnis chilensis
Sutherlandia darumbium
Francoa appendiculata var. appendiculata
Edwardsia masafuerana
Ranunculus skottsbergii
Chabraea suaveolens var. pinnatifida
Adesmia tomentosa
Copiapoa paposoensis
Lobelia tupa
Chorizanthe macraei
Atriplex mucronata
Mutisia spinosa var. pulchella
Sagina apetala var. valdiviana
Eriosyce curvispina subsp. curvispina var. tuberisulcata
Galium lasiocarpum
Senecio crusoei
Dryopteris espinosai
Oxalis laxa var. rigida
Chloraea lindleyi
Leucheria cerberoana
Baccharis linifolia
Gavilea glandulifera var. illapelina
Viola karlreicheana
Oxalis berteroana
Carex andina
Calceolaria pendula
Haplopappus glutinosus var. illinitus
Austrolycopodium paniculatum
Ceratophyllum demersum
Asarca pearcei
Scirpus macrolepis
Nothofagus obliqua subsp. andina
Araujia sericifera
Acaena digitata var. latifoliolata
Valeriana pulchella
Agrostis philippiana
Drapetes muscosus
Baccharis talcareguensis
Dioscorea biloba subsp. coquimbana
Chenopodium pumilio
Eritrichium limense
Descurainia athrocarpa
Gnaphalium schultzii
Cyperus vegetus var. trigonus
Stipa micrantha
Senecio aquaticus
Trifolium repens
Patagonium calycosum
Susarium nigricans
Cestrum campestre
Hippeastrum popetanum
Hesperis colchaguensis
Senecio yegua var. depilis
Ochagavia carnea
Cassia andina
Adiantum mochaenum
Alona lepidophylla
Tropaeolum tenellum
Gamochaeta andina
Loasa prostrata
Discaria cognata
Valeriana rupicola
Nastanthus scapigerus
Perreymondia viridis
Calceolaria petioalaris var. cuspidata
Mimulus luteus fma. macrophyllus
Epilobium chilense var. latifolium
Dissanthelium atropidiforme
Diplopappus coquimbensis
Weberbauera lagunae
Sisyrinchium nuno
Atriplex rosea
Anagallis alternifolia var. tenelliformis fma. laxa
Copiapoa krainziana
Microlepia strigosa
Polyachyrus sanromani
Ribes parviflorum
Calceolaria densifolia subsp. laxa
Ophioglossum peruvianum
Lepidium suffruticosum
Tylloma glabratum var. brachylepis
Cressa cretica var. truxillensis
Senecio grindeliifolius
Syzygium jambos
Ptychophyllum magellanicum
Uncinia macrolepis
Copiapoa tenebrosa
Gamocarpha selliana
Briza subaristata
Spicanta leyboldtiana
Senecio thinophilus
Gaultheria myrtilloides var. minor
Berberis grisebachii
Senecio gayanus
Teucrium cavanilliesii
Calceolaria campanae
Chloraea commersonii
Racosperma melanoxylon
Spartina densiflora
Pyrrhocactus marksianus
Baccharis spartioides
Escallonia commutata
Solidago microglossa var. linearifolia
Gutierrezia laricifolia
Hymenophyllum wilsonii
Verbena selaginoides
Hymenophyllum nahuelhuapiense
Baccharis lingulata
Cerastium glomeratum
Eritrichium calandrinioides
Cephalophora gracilis
Quinchamalium ericoides
Calandrinia sessiliflora
Latua pubiflora
Eugenia bella
Calamagrostis variegata
Exodeconus integrifolius
Cristaria seselifolia
Gethyum atropurpureum
Cochranea chenopodiacea
Carex ortegae
Senecio aquaticus subsp. aquaticus
Haplodiscus peteroanus
Psilocarphus brevissimus
Cassia flaccida
Eriosyce curvispina var. choapensis
Oreophila chondrilloides
Rea beteriana
Haplopappus teillieri
Astragalus sphaerocarpus
Ranunculus peduncularis var. erodiifolius
Discaria magellanica
Viola werdermannii var. glaberrima
Hordeum chilense var. magellanicum
Jouyella philipporum
Puya alpestris subsp. alpestris
Astragalus palenae
Hamadryas delfinii
Crassula peduncularis
Juncus oliganthus
Digitaria violascens
Malesherbia rosulata
Menonvillea falcata
Fuchsia coccinea var. chonotica
Pseudogynoxys cordifolia
Salvia gilliesii var. glandulosa
Azorella monteroi
Calceolaria acutifolia
Amaryllis atacamensis
Adesmia coluteoides
Junellia scoparia
Suaeda patagonica
Chuquiraga ulicina subsp. acicularis
Onuris spegazziniana
Phacelia pinnatifida var. robusta
Hypochaeris toltensis
Blechnum magellanicum var. setigerum
Alona coelestis var. ericifolia
Rostkovia reichei
Agrostis virginica
Argylia huidobriana
Acetosella falconiana
Calandrinia polia
Erodium botrys
Loranthus aphyllus
Eritrichium foliosum
Haplopappus stelliger
Diplopappus integerrimus
Asteriscium vidali
Myriogyne elatinoides
Grisebachiella hieronymi
Poa fuegiana
Helenium urmenetae
Anarthrophyllum rigidum
Spergula arvensis
Astragalus azureus
Lepidophyllum abietinum
Solanum echegarayi
Dysopsis glechomoides
Blechnum alpinum var. elongatum
Phegopteris sturmii
Solanum maritimum
Polystichum aculeatum var. brongniartianum
Echinocactus islayensis
Melica flava
Atacama nivea
Bellota miersii
Callitriche lechleri var. berteroana
Duvaua velutina
Bolax glebaria
Asarca acutifolia
Urceolaria chilensis
Adesmia glabriuscula
Cereus brevistylus
Oxalis clandestina
Vicia macraei
Patagonium monospermum
Oxalis besseri
Notholaena sinuata
Bartsia chilensis
Oxalis hapalconidea
Lepidium ruderale var. myrianthum
Stevia baccharoides
Erigeron colinensis
Cryptantha talquina
Bromus valdivianus
Lardizabala discolor
Leucheria gayana
Valdivia gayana var. hollermayeri
Asteriscium poeppigii
Triglochin montevidensis
Menonvillea virgata
Lathyrus lomanus
Tropaeolum brachyceras var. grandiflorum
Glaux atacamensis
Juncus leopoldii
Berberis pilosifolia
Scirpus atacamensis
Nolana petiolata
Monocosmia verrucosa
Eugenia rufa
Descurainia sophia
Werdermannia pinnata
Notopappus pectinatus
Carex macrorrhiza var. simplex
Pyrrhocactus carrizalensis
Chenopodium carnosulum
Mniodes piptolepis
Chuquiraga patagonica
Ephedra ochreata var. striata
Achyrophorus andinus
Rhodostachys litoralis
Apium andinum
Acacia  dealbata
Chenopodium giganteum
Rhodophiala advena
Neoporteria clavata fma. grandiflora
Aristida pallens var. genuina
Asarca maculosa
Cristaria integerrima var. integerrima
Horridocactus crispus
Polygala eutaxoides
Copiapoa hypogaea
Calandrinia colchaguensis
Calceolaria cummingiana
Lachnagrostis filiformis
Haplopappus reflexus
Trisetum rigidulum
Horridocactus atroviridis
Lomaria gayana
Valeriana rhizantha
Isolepis nigricans
Chabraea viscosa
Viola asterias var. caulescens
Boldea boldus
Carex fernandezensis
Equisetum araucanum
Chloraea nudilabia
Psychrophila holophylla
Senecio rutaceus
Hierochloe utriculata
Neoporteria curvispina var. lissocarpa
Sophora cassioides
Phycella australis
Alona coelestis
Notholaena myriophylla
Juncoides alopecurus
Apium pimpinellifolium
Asynthema gracile
Adesmia occulta
